,kls=results&ty=por&q=0.44&ds=5&daa=500&scale=0.25,kls=results&ty=por&q=0.44&ds=10&daa=500&scale=0.5,kls=results&ty=por&q=0.44&ds=20&daa=500&scale=1,kls=results&ty=trad&q=0.44&ds=20&daa=500&scale=1,kls=analytical&ty=trad&q=0.44&ds=20.0&daa=0&scale=1
0.05,,,,,0.88
0.1,,,,,0.820864
0.15,,,,,0.7771506688
0.2,,,,,0.7412474527744
0.25,0.7112777777777778,,,,0.7102845192739226
0.3,,,,,0.682819158741659
0.35,,,,,0.6580051210127768
0.4,,,,,0.6352953136833036
0.45,,,,,0.6143114517108704
0.5,0.5736666666666667,0.5751666666666667,,,0.594778740370842
0.55,,,,,0.5764898720889466
0.6,,,,,0.5592837048093393
0.65,,,,,0.543031906274841
0.7,,,,,0.5276302018175318
0.75,0.48488888888888887,,,,0.5129924219013051
0.8,,,,,0.4990463258787199
0.85,,,,,0.4857305933963555
0.9,,,,,0.47299260704804946
0.95,,,,,0.4607867854627393
1.0,0.4181111111111111,0.43122222222222223,0.4492777777777778,0.4588888888888889,0.44907330817548086
1.05,,,,,0.43781712504151704
1.1,,,,,0.4269871760422259
1.15,,,,,0.4165557691661086
1.2,,,,,0.40649807877981403
1.25,0.3561111111111111,,,,0.39679173704434734
1.3,,,,,0.3874164980381609
1.35,,,,,0.37835395931144233
1.4,,,,,0.3695873292566303
1.45,,,,,0.3611012313635722
1.5,0.3098888888888889,0.3362222222222222,,,0.35288153841954306
1.55,,,,,0.3449152312100019
1.6,,,,,0.3371902774111446
1.65,,,,,0.3296955272354932
1.7,,,,,0.3224206230649943
1.75,0.2757777777777778,,,,0.3153559208314689
1.8,,,,,0.3084924213175543
1.85,,,,,0.3018217098788749
1.9,,,,,0.29533590334969584
1.95,,,,,0.2890276031044733
2.0,,0.25822222222222224,0.2607777777777778,0.2857777777777778,0.28288985341767536
2.05,,,,,0.2769161044025087
2.1,,,,,0.27110017892229876
2.15,,,,,0.2654362429613051
2.2,,,,,0.25991877901865146
2.25,0.2131111111111111,,,,0.2545425621529298
2.3,,,,,0.24930263835832844
2.35,,,,,0.2441943049978037
2.4,,,,,0.23921309305639538
2.45,,,,,0.23435475100954173
2.5,,0.211,,,0.22961523012817686
2.55,,,,,0.22499067106531045
2.6,,,,,0.22047739158836455
2.65,,,,,0.2160718753383143
2.7,,,,,0.21177076151109553
2.75,0.173,,,,0.20757083536917487
2.8,,,,,0.20346901950192942
2.85,,,,,0.19946236576280407
2.9,,,,,0.1955480478193229
2.95,,,,,0.19172335425909925
3.0,,0.1731111111111111,0.17877777777777779,0.17266666666666666,0.18798568220116796
3.05,,,,,0.18433253136737338
3.1,,,,,0.18076149857330504
3.15,,,,,0.17727027260245376
3.2,,,,,0.1738566294309547
3.25,0.14244444444444446,,,,0.17051842777354576
3.3,,,,,0.16725360492426156
3.35,,,,,0.16406017286794838
3.4,,,,,0.16093621464096775
3.45,,,,,0.15787988092148886
3.5,,0.146,,,0.15488938683158437
3.55,,,,,0.1519630089349674
3.6,,,,,0.1490990824156596
3.65,,,,,0.14629599842418428
3.7,,,,,0.14355220157904924
3.75,0.1218888888888889,,,,0.14086618761233927
3.8,,,,,0.13823650114918706
3.85,,,,,0.1356617336117497
3.9,,,,,0.13314052123909093
3.95,,,,,0.130671543215076
4.0,,,0.1282222222222222,0.11466666666666667,0.12825351989701494
4.05,,,,,0.12588521113837325
4.1,,,,,0.12356541469938997
4.15,,,,,0.12129296473992235
4.2,,,,,0.11906673038926896
4.25,0.10044444444444445,,,,0.11688561438812217
4.3,,,,,0.1147485517981609
4.35,,,,,0.11265450877512684
4.4,,,,,0.11060248140152962
4.45,,,,,0.1085914945754044
4.5,,0.10488888888888889,,,0.10662060095179915
4.55,,,,,0.10468887993390386
4.6,,,,,0.10279543671094793
4.65,,,,,0.10093940134018797
4.7,,,,,0.09911992787049517
4.75,0.08322222222222223,,,,0.09733619350521128
4.8,,,,,0.09558739780210546
4.85,,,,,0.09387276190840033
4.9,,,,,0.09219152782897089
4.95,,,,,0.09054295772594179
5.0,,,0.09377777777777778,0.0748888888888889,0.08892633324802035
5.05,,,,,0.08734095488800808
5.1,,,,,0.08578614136703167
5.15,,,,,0.08426122904412148
5.2,,,,,0.08276557134985263
5.25,0.07033333333333333,,,,0.08129853824284028
5.3,,,,,0.07985951568795113
5.35,,,,,0.07844790515516431
5.4,,,,,0.0770631231380734
5.45,,,,,0.07570460069108431
5.5,,0.07433333333333333,,,0.07437178298441338
5.55,,,,,0.07306412887604441
5.6,,,,,0.07178111049985036
5.65,,,,,0.07052221286912874
5.7,,,,,0.06928693349484194
5.75,,,,,0.06807478201789274
5.8,,,,,0.06688527985480142
5.85,,,,,0.065717959856186
5.9,,,,,0.0645723659774764
5.95,,,,,0.06344805296132727
6.0,,,0.06822222222222223,0.045,0.06234458603121862
6.05,,,,,0.061261540595763386
6.1,,,,,0.06019850196326115
6.15,,,,,0.059155065066067714
6.2,,,,,0.058130834194364156
6.25,,,,,0.057125422738935505
6.3,,,,,0.0561384529425869
6.35,,,,,0.055169555659842606
6.4,,,,,0.0542183701245913
6.45,,,,,0.05328454372535829
6.5,,0.05444444444444444,,,0.052367731787898664
6.55,,,,,0.05146759736482143
6.6,,,,,0.050583811031968406
6.65,,,,,0.049716050691284486
6.7,,,,,0.048864001379926636
6.75,,,,,0.04802735508537348
6.8,,,,,0.04720581056630613
6.85,,,,,0.04639907317904113
6.9,,,,,0.045606854709309363
6.95,,,,,0.0448288732091785
7.0,,,0.050555555555555555,0.03277777777777778,0.04406485283893202
7.05,,,,,0.043314523713720354
7.1,,,,,0.042577621754811834
7.15,,,,,0.04185388854527594
7.2,,,,,0.04114307118994098
7.25,,,,,0.040444922179472265
7.3,,,,,0.03975919925842575
7.35,,,,,0.03908566529713753
7.4,,,,,0.03842408816731435
7.45,,,,,0.037774240621198274
7.5,0.03955555555555555,0.042444444444444444,,,0.03713590017418078
7.55,,,,,0.03650884899074891
7.6,,,,,0.035892873773651135
7.65,,,,,0.035287765656172865
7.7,,,,,0.03469332009741832
7.75,,,,,0.03410933678049777
7.8,,,,,0.03353561951352535
7.85,,,,,0.032971976133332914
7.9,,,,,0.03241821841181369
7.95,,,,,0.0318741619648083
8.0,,,,,0.03133962616345154
8.05,,,,,0.030814434047902517
8.1,,,,,0.030298412243379813
8.15,,,,,0.0297913908784303
8.2,,,,,0.0292932035053608
8.25,,,,,0.028803687022765145
8.3,,,,,0.028322681600080113
8.35,,,,,0.027850030604110176
8.4,,,,,0.0273855805274571
8.45,,,,,0.026929180918799256
8.5,,0.03077777777777778,,,0.026480684314962644
8.55,,,,,0.026039946174729378
8.6,,,,,0.025606824814332407
