,kls=results&ty=por&q=0.44&ds=1.25&daa=500&scale=0.25,kls=results&ty=por&q=0.44&ds=2.5&daa=500&scale=0.5,kls=results&ty=por&q=0.44&ds=5&daa=500&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=500&scale=2,kls=results&ty=por&q=0.44&ds=20&daa=500&scale=4,kls=results&ty=trad&q=0.44&ds=5&daa=500&scale=1,kls=analytical&ty=trad&q=0.44&ds=5.0&daa=0&scale=1
0.2,,,,,,,0.88
0.25,0.8995555555555556,,,,,,
0.4,,,,,,,0.820864
0.5,0.758,0.8236111111111111,,,,,
0.6,,,,,,,0.7771506688
0.75,0.665,,,,,,
0.8,,,,,,,0.7412474527744
1.0,0.583,0.7012222222222222,0.7112777777777778,,,0.7165555555555555,0.7102845192739226
1.2,,,,,,,0.682819158741659
1.25,0.5224444444444445,,,,,,
1.4,,,,,,,0.6580051210127768
1.5,0.46555555555555556,0.6038888888888889,,,,,
1.6,,,,,,,0.6352953136833036
1.75,0.4292222222222222,,,,,,
1.8,,,,,,,0.6143114517108704
2.0,,0.519,0.5736666666666667,0.5751666666666667,,0.5834444444444444,0.594778740370842
2.2,,,,,,,0.5764898720889466
2.25,0.35755555555555557,,,,,,
2.4,,,,,,,0.5592837048093393
2.5,,0.4738888888888889,,,,,
2.6,,,,,,,0.543031906274841
2.75,0.30922222222222223,,,,,,
2.8,,,,,,,0.5276302018175318
3.0,,0.42088888888888887,0.48488888888888887,,,0.5176666666666667,0.5129924219013051
3.2,,,,,,,0.4990463258787199
3.25,0.2668888888888889,,,,,,
3.4,,,,,,,0.4857305933963555
3.5,,0.38177777777777777,,,,,
3.6,,,,,,,0.47299260704804946
3.75,0.22655555555555557,,,,,,
3.8,,,,,,,0.4607867854627393
4.0,,,0.4181111111111111,0.43122222222222223,0.4492777777777778,0.44733333333333336,0.44907330817548086
4.2,,,,,,,0.43781712504151704
4.25,0.19777777777777777,,,,,,
4.4,,,,,,,0.4269871760422259
4.5,,0.3151111111111111,,,,,
4.6,,,,,,,0.4165557691661086
4.75,0.17444444444444446,,,,,,
4.8,,,,,,,0.40649807877981403
5.0,,,0.3561111111111111,,,0.40655555555555556,0.39679173704434734
5.2,,,,,,,0.3874164980381609
5.25,0.151,,,,,,
5.4,,,,,,,0.37835395931144233
5.5,,0.2568888888888889,,,,,
5.6,,,,,,,0.3695873292566303
5.8,,,,,,,0.3611012313635722
6.0,,,0.3098888888888889,0.3362222222222222,,0.3443333333333333,0.35288153841954306
6.2,,,,,,,0.3449152312100019
6.4,,,,,,,0.3371902774111446
6.5,,0.22088888888888888,,,,,
6.6,,,,,,,0.3296955272354932
6.8,,,,,,,0.3224206230649943
7.0,,,0.2757777777777778,,,0.328,0.3153559208314689
7.2,,,,,,,0.3084924213175543
7.4,,,,,,,0.3018217098788749
7.5,0.09977777777777778,0.19444444444444445,,,,,
7.6,,,,,,,0.29533590334969584
7.8,,,,,,,0.2890276031044733
8.0,,,,0.25822222222222224,0.2607777777777778,,0.28288985341767536
8.2,,,,,,,0.2769161044025087
8.4,,,,,,,0.27110017892229876
8.5,,0.1638888888888889,,,,,
8.6,,,,,,,0.2654362429613051
8.8,,,,,,,0.25991877901865146
9.0,,,0.2131111111111111,,,0.25033333333333335,0.2545425621529298
9.2,,,,,,,0.24930263835832844
9.4,,,,,,,0.2441943049978037
9.5,,0.14377777777777778,,,,,
9.6,,,,,,,0.23921309305639538
9.8,,,,,,,0.23435475100954173
10.0,,,,0.211,,,0.22961523012817686
10.2,,,,,,,0.22499067106531045
10.4,,,,,,,0.22047739158836455
10.5,0.058,0.12544444444444444,,,,,
10.6,,,,,,,0.2160718753383143
10.8,,,,,,,0.21177076151109553
11.0,,,0.173,,,0.20644444444444446,0.20757083536917487
11.2,,,,,,,0.20346901950192942
11.4,,,,,,,0.19946236576280407
11.6,,,,,,,0.1955480478193229
11.8,,,,,,,0.19172335425909925
12.0,,,,0.1731111111111111,0.17877777777777779,,0.18798568220116796
12.2,,,,,,,0.18433253136737338
12.4,,,,,,,0.18076149857330504
12.6,,,,,,,0.17727027260245376
12.8,,,,,,,0.1738566294309547
13.0,,,0.14244444444444446,,,0.14888888888888888,0.17051842777354576
13.2,,,,,,,0.16725360492426156
13.4,,,,,,,0.16406017286794838
13.6,,,,,,,0.16093621464096775
13.8,,,,,,,0.15787988092148886
14.0,,,,0.146,,,0.15488938683158437
14.2,,,,,,,0.1519630089349674
14.4,,,,,,,0.1490990824156596
14.6,,,,,,,0.14629599842418428
14.8,,,,,,,0.14355220157904924
15.0,0.03422222222222222,0.07377777777777778,0.1218888888888889,,,0.12411111111111112,0.14086618761233927
15.2,,,,,,,0.13823650114918706
15.4,,,,,,,0.1356617336117497
15.6,,,,,,,0.13314052123909093
15.8,,,,,,,0.130671543215076
16.0,,,,,0.1282222222222222,,0.12825351989701494
16.2,,,,,,,0.12588521113837325
16.4,,,,,,,0.12356541469938997
16.6,,,,,,,0.12129296473992235
16.8,,,,,,,0.11906673038926896
17.0,,,0.10044444444444445,,,0.10088888888888889,0.11688561438812217
17.2,,,,,,,0.1147485517981609
17.4,,,,,,,0.11265450877512684
17.6,,,,,,,0.11060248140152962
17.8,,,,,,,0.1085914945754044
18.0,,,,0.10488888888888889,,,0.10662060095179915
18.2,,,,,,,0.10468887993390386
18.4,,,,,,,0.10279543671094793
18.6,,,,,,,0.10093940134018797
18.8,,,,,,,0.09911992787049517
19.0,,,0.08322222222222223,,,0.08177777777777778,0.09733619350521128
19.2,,,,,,,0.09558739780210546
19.4,,,,,,,0.09387276190840033
19.6,,,,,,,0.09219152782897089
19.8,,,,,,,0.09054295772594179
20.0,,,,,0.09377777777777778,,0.08892633324802035
20.2,,,,,,,0.08734095488800808
20.4,,,,,,,0.08578614136703167
20.6,,,,,,,0.08426122904412148
20.8,,,,,,,0.08276557134985263
21.0,,0.049666666666666665,0.07033333333333333,,,0.07,0.08129853824284028
21.2,,,,,,,0.07985951568795113
21.4,,,,,,,0.07844790515516431
21.6,,,,,,,0.0770631231380734
21.8,,,,,,,0.07570460069108431
22.0,,,,0.07433333333333333,,,0.07437178298441338
22.2,,,,,,,0.07306412887604441
22.4,,,,,,,0.07178111049985036
22.6,,,,,,,0.07052221286912874
22.8,,,,,,,0.06928693349484194
23.0,,,,,,,0.06807478201789274
23.2,,,,,,,0.06688527985480142
23.4,,,,,,,0.065717959856186
23.6,,,,,,,0.0645723659774764
23.8,,,,,,,0.06344805296132727
24.0,,,,,0.06822222222222223,,0.06234458603121862
24.2,,,,,,,0.061261540595763386
24.4,,,,,,,0.06019850196326115
24.6,,,,,,,0.059155065066067714
24.8,,,,,,,0.058130834194364156
25.0,,,,,,,0.057125422738935505
25.2,,,,,,,0.0561384529425869
25.4,,,,,,,0.055169555659842606
25.6,,,,,,,0.0542183701245913
25.8,,,,,,,0.05328454372535829
26.0,,,,0.05444444444444444,,,0.052367731787898664
26.2,,,,,,,0.05146759736482143
26.4,,,,,,,0.050583811031968406
26.6,,,,,,,0.049716050691284486
26.8,,,,,,,0.048864001379926636
27.0,,,,,,,0.04802735508537348
27.2,,,,,,,0.04720581056630613
27.4,,,,,,,0.04639907317904113
27.6,,,,,,,0.045606854709309363
27.8,,,,,,,0.0448288732091785
28.0,,,,,0.050555555555555555,,0.04406485283893202
28.2,,,,,,,0.043314523713720354
28.4,,,,,,,0.042577621754811834
28.6,,,,,,,0.04185388854527594
28.8,,,,,,,0.04114307118994098
29.0,,,,,,,0.040444922179472265
29.2,,,,,,,0.03975919925842575
29.4,,,,,,,0.03908566529713753
29.6,,,,,,,0.03842408816731435
29.8,,,,,,,0.037774240621198274
30.0,,0.02711111111111111,0.03955555555555555,0.042444444444444444,,0.022,0.03713590017418078
30.2,,,,,,,0.03650884899074891
30.4,,,,,,,0.035892873773651135
30.6,,,,,,,0.035287765656172865
30.8,,,,,,,0.03469332009741832
31.0,,,,,,,0.03410933678049777
31.2,,,,,,,0.03353561951352535
31.4,,,,,,,0.032971976133332914
31.6,,,,,,,0.03241821841181369
31.8,,,,,,,0.0318741619648083
32.0,,,,,,,0.03133962616345154
32.2,,,,,,,0.030814434047902517
32.4,,,,,,,0.030298412243379813
32.6,,,,,,,0.0297913908784303
32.8,,,,,,,0.0292932035053608
33.0,,,,,,,0.028803687022765145
33.2,,,,,,,0.028322681600080113
33.4,,,,,,,0.027850030604110176
33.6,,,,,,,0.0273855805274571
33.8,,,,,,,0.026929180918799256
34.0,,,,0.03077777777777778,,,0.026480684314962644
34.2,,,,,,,0.026039946174729378
34.4,,,,,,,0.025606824814332407
34.6,,,,,,,0.02518118134458558
34.8,,,,,,,0.02476287960960033
35.0,,,,,,,0.024351786127041253
35.2,,,,,,,0.023947770029878024
35.4,,,,,,,0.02355070300958595
35.6,,,,,,,0.023160459260756716
35.8,,,,,,,0.022776915427075828
36.0,,,,,0.025111111111111112,,0.02239995054862931
36.2,,,,,,,0.02202944601049961
36.4,,,,,,,0.02166528549261615
36.6,,,,,,,0.02130735492082325
36.8,,,,,,,0.02095554241913189
37.0,,,,,,,0.020609738263121513
37.2,,,,,,,0.020269834834460876
37.4,,,,,,,0.0199357265765151
37.6,,,,,,,0.019607309951010565
37.8,,,,,,,0.019284483395727303
38.0,,,,0.026222222222222223,,,0.01896714728319182
38.2,,,,,,,0.018655203880341253
38.4,,,,,,,0.018348557309135427
38.6,,,,,,,0.01804711350808763
38.8,,,,,,,0.017750780194692783
39.0,,,,,,,0.017459466828726566
39.2,,,,,,,0.017173084576393105
39.4,,,,,,,0.016891546275299096
39.6,,,,,,,0.016614766400232073
39.8,,,,,,,0.016342661029721817
40.0,,,,,,,0.016075147813363833
40.2,,,,,,,0.015812145939886557
40.4,,,,,,,0.01555357610594088
40.6,,,,,,,0.015299360485594882
40.8,,,,,,,0.015049422700515347
41.0,,,,,,,0.014803687790817976
41.2,,,,,,,0.014562082186568959
41.4,,,,,,,0.014324533679922924
41.6,,,,,,,0.014090971397879293
41.8,,,,,,,0.013861325775642253
42.0,,,,0.01877777777777778,,,0.013635528530569374
42.2,,,,,,,0.013413512636693992
42.4,,,,,,,0.01319521229980658
42.6,,,,,,,0.012980562933081696
42.8,,,,,,,0.012769501133237271
43.0,,,,,,,0.012561964657212377
43.2,,,,,,,0.012357892399351034
43.4,,,,,,,0.012157224369079955
43.6,,,,,,,0.011959901669068462
43.8,,,,,,,0.011765866473857134
44.0,,,,,0.01911111111111111,,0.011575062008946424
44.2,,,,,,,0.011387432530331698
44.4,,,,,,,0.011202923304476364
44.6,,,,,,,0.011021480588709776
44.8,,,,,,,0.010843051612042798
45.0,,,0.021444444444444443,,,,0.010667584556388388
45.2,,,,,,,0.010495028538180073
45.4,,,,,,,0.01032533359037624
45.6,,,,,,,0.010158450644844108
45.8,,,,,,,0.009994331515111643
46.0,,,,,,,0.009832928879481062
46.2,,,,,,,0.009674196264494173
52.0,,,,,0.008777777777777778,,
60.0,,,0.012666666666666666,0.009777777777777778,0.006111111111111111,,
68.0,,,,,0.0038888888888888888,,
76.0,,,,,0.0035555555555555557,,
84.0,,,,,0.0022222222222222222,,
120.0,,,,,0.0013333333333333333,,
